,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_lr,param_max_epochs,param_module__activation_fun,param_module__hidden_layers,param_module__num_units,param_optimizer,param_optimizer__momentum,param_optimizer__nesterov,param_optimizer__weight_decay,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
222,10.731740736961365,1.2688835882139815,0.010888147354125976,0.010340574982433848,1246,0.12681763559641845,1000,sigmoid,1,38,<class 'torch.optim.sgd.SGD'>,0.9,False,0.0034158054342776204,"{'batch_size': 1246, 'lr': 0.12681763559641845, 'max_epochs': 1000, 'module__activation_fun': 'sigmoid', 'module__hidden_layers': 1, 'module__num_units': 38, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.9, 'optimizer__nesterov': False, 'optimizer__weight_decay': 0.0034158054342776204}",1.0883267992981394,1.0376051336078715,1.189888924948479,1.2701566914530624,1.2107353459735561,1.2588730702470792,1.180549298350076,1.0950909107363314,1.2323332286082713,1.0510454714636912,1.1614604874686558,0.08198333575814147,494
438,7.2822239875793455,1.5454090747670939,0.012647414207458496,0.0062830091272210635,188,0.014305461280066465,1000,sigmoid,2,19,<class 'torch.optim.sgd.SGD'>,0.95,True,0.005560607766262103,"{'batch_size': 188, 'lr': 0.014305461280066465, 'max_epochs': 1000, 'module__activation_fun': 'sigmoid', 'module__hidden_layers': 2, 'module__num_units': 19, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.95, 'optimizer__nesterov': True, 'optimizer__weight_decay': 0.005560607766262103}",1.1222897361179716,1.0743673612412654,1.190178843313142,1.2463505536149768,1.2621861617255927,1.301986150443554,1.2194858172390246,1.128366772393535,1.3253525185181683,1.0750524207215868,1.1945616335328817,0.08653090609978913,493
475,11.103253507614136,2.6298906714812627,0.0073131084442138675,0.0075874314710024605,1174,0.06250468838952698,1000,tanh,1,63,<class 'torch.optim.sgd.SGD'>,0.9,False,0.018539723868231862,"{'batch_size': 1174, 'lr': 0.06250468838952698, 'max_epochs': 1000, 'module__activation_fun': 'tanh', 'module__hidden_layers': 1, 'module__num_units': 63, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.9, 'optimizer__nesterov': False, 'optimizer__weight_decay': 0.018539723868231862}",1.0958454758489042,1.0679237589912307,1.2376895044979297,1.3126478648947595,1.2509100672025653,1.2842396603883208,1.2401043275805343,1.117868883339198,1.3201560736318727,1.0785539176766619,1.2005939534051977,0.09467178905575892,492
491,15.336044478416444,3.8749645783931532,0.009949111938476562,0.00749906984620598,913,0.008018168018362795,1000,tanh,2,17,<class 'torch.optim.sgd.SGD'>,0.9,True,0.008891502923035479,"{'batch_size': 913, 'lr': 0.008018168018362795, 'max_epochs': 1000, 'module__activation_fun': 'tanh', 'module__hidden_layers': 2, 'module__num_units': 17, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.9, 'optimizer__nesterov': True, 'optimizer__weight_decay': 0.008891502923035479}",1.1398162553577047,1.1220771622444903,1.225600747545635,1.3191722824161214,1.3334834712200372,1.2852921464613505,1.2115417361203442,1.1473429042257761,1.3190188477922202,1.077295697463507,1.2180641250847188,0.08860516774950392,491
352,11.85535707473755,1.4164566933265454,0.010871815681457519,0.006443825519826024,832,0.21106088359595798,1000,sigmoid,1,21,<class 'torch.optim.sgd.SGD'>,0.9,True,0.003903946056496063,"{'batch_size': 832, 'lr': 0.21106088359595798, 'max_epochs': 1000, 'module__activation_fun': 'sigmoid', 'module__hidden_layers': 1, 'module__num_units': 21, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.9, 'optimizer__nesterov': True, 'optimizer__weight_decay': 0.003903946056496063}",1.114816380020483,1.1358980424282021,1.2468278933512538,1.306433079554174,1.2870116697106146,1.2880242607535277,1.3467939166646254,1.142016526955859,1.3050938138276114,1.0979810453612695,1.2270896628627619,0.08901127952665297,490
182,7.751467156410217,1.2382108951297792,0.00910639762878418,0.006177909321234717,962,0.012834716599970836,1000,tanh,2,91,<class 'torch.optim.sgd.SGD'>,0.95,True,0.04905397572991494,"{'batch_size': 962, 'lr': 0.012834716599970836, 'max_epochs': 1000, 'module__activation_fun': 'tanh', 'module__hidden_layers': 2, 'module__num_units': 91, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.95, 'optimizer__nesterov': True, 'optimizer__weight_decay': 0.04905397572991494}",1.2414605507445067,1.2628050750695674,1.2354621774467982,1.268314471594373,1.2851257598853874,1.2723575472215514,1.3272535456974703,1.1674811618780732,1.3307382601096218,1.1276612330764306,1.2518659782723778,0.06061800885659813,489
892,4.294824004173279,0.5869652877226227,0.009022855758666992,0.005533526713868023,394,0.01996632420358551,1000,sigmoid,2,51,<class 'torch.optim.sgd.SGD'>,0.95,False,0.013151070528504255,"{'batch_size': 394, 'lr': 0.01996632420358551, 'max_epochs': 1000, 'module__activation_fun': 'sigmoid', 'module__hidden_layers': 2, 'module__num_units': 51, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.95, 'optimizer__nesterov': False, 'optimizer__weight_decay': 0.013151070528504255}",1.1468207689660384,1.1284602511590136,1.2744385042136772,1.3274420104864846,1.2934843581870086,1.3638055099916637,1.2827288820723395,1.1949212497618413,1.3355847053733982,1.1763888028534977,1.2524075043064962,0.07977793621780169,488
725,12.771750116348267,2.4135709395828435,0.010945677757263184,0.007323171150029246,1125,0.01865168526561478,1000,tanh,1,44,<class 'torch.optim.sgd.SGD'>,0.9,False,0.021111222099836475,"{'batch_size': 1125, 'lr': 0.01865168526561478, 'max_epochs': 1000, 'module__activation_fun': 'tanh', 'module__hidden_layers': 1, 'module__num_units': 44, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.9, 'optimizer__nesterov': False, 'optimizer__weight_decay': 0.021111222099836475}",1.1658947650987403,1.1292747282107969,1.3008661138496005,1.3689883197832824,1.2703952535538745,1.3568271203876887,1.299760106418814,1.1744458851285446,1.373746180332693,1.1631960179374525,1.2603394490701487,0.08954627989490126,487
296,6.547055768966675,0.5765377498748547,0.01463475227355957,0.008385519237156499,479,0.022487480480225027,1000,sigmoid,1,92,<class 'torch.optim.sgd.SGD'>,0.95,False,0.010493228173623605,"{'batch_size': 479, 'lr': 0.022487480480225027, 'max_epochs': 1000, 'module__activation_fun': 'sigmoid', 'module__hidden_layers': 1, 'module__num_units': 92, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.95, 'optimizer__nesterov': False, 'optimizer__weight_decay': 0.010493228173623605}",1.171993784592452,1.1736152255137389,1.2674167817248438,1.3643089779337545,1.3194746334049712,1.3711509735400516,1.3432027484969538,1.1507684432978469,1.3611904951862823,1.1167194920055794,1.2639841555696474,0.09565504761792402,486
267,7.203713154792785,2.0090944745769743,0.007976603507995606,0.004745051927977866,420,0.014394590988193165,1000,tanh,1,16,<class 'torch.optim.sgd.SGD'>,0.9,True,0.018666506382541092,"{'batch_size': 420, 'lr': 0.014394590988193165, 'max_epochs': 1000, 'module__activation_fun': 'tanh', 'module__hidden_layers': 1, 'module__num_units': 16, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.9, 'optimizer__nesterov': True, 'optimizer__weight_decay': 0.018666506382541092}",1.162263778185374,1.1640055498626447,1.288435366704948,1.3458121153420972,1.3270008957531667,1.3879011217364692,1.2935430422089154,1.190969296752062,1.4289171741084945,1.1790956152095036,1.2767943955863674,0.09270156273311857,485
