,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_lr,param_max_epochs,param_module__activation_fun,param_module__hidden_layers,param_module__num_units,param_optimizer,param_optimizer__momentum,param_optimizer__nesterov,param_optimizer__weight_decay,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
118,6.068263006210327,0.9798965165415956,0.008480453491210937,0.0034524340337216265,688,0.028,1000,tanh,1,40,<class 'torch.optim.sgd.SGD'>,0.9,True,0.0115,"{'batch_size': 688, 'lr': 0.028, 'max_epochs': 1000, 'module__activation_fun': 'tanh', 'module__hidden_layers': 1, 'module__num_units': 40, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.9, 'optimizer__nesterov': True, 'optimizer__weight_decay': 0.0115}",1.0952502745098638,1.0924115424933738,1.2109628652775646,1.2504776523525554,1.2015625522156854,1.2633664311659067,1.174032098424614,1.1508611963039501,1.2973917923811684,1.0498346063153197,1.178615101144,0.07732032513055664,259
142,6.286754584312439,1.0605056083361983,0.008089709281921386,0.005003643765056309,688,0.029,1000,tanh,1,42,<class 'torch.optim.sgd.SGD'>,0.9,True,0.0115,"{'batch_size': 688, 'lr': 0.029, 'max_epochs': 1000, 'module__activation_fun': 'tanh', 'module__hidden_layers': 1, 'module__num_units': 42, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.9, 'optimizer__nesterov': True, 'optimizer__weight_decay': 0.0115}",1.093560807715009,1.0953952536771172,1.2183333937274783,1.2203345529847127,1.2185933371459632,1.280822232757744,1.1530902784849917,1.1369933760479878,1.2690664387791228,1.1031350018456578,1.1789324673165786,0.06766384234303267,258
255,6.935620665550232,2.201483209517569,0.008553361892700196,0.004668319279602894,720,0.028,1000,tanh,1,38,<class 'torch.optim.sgd.SGD'>,0.9,True,0.01,"{'batch_size': 720, 'lr': 0.028, 'max_epochs': 1000, 'module__activation_fun': 'tanh', 'module__hidden_layers': 1, 'module__num_units': 38, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.9, 'optimizer__nesterov': True, 'optimizer__weight_decay': 0.01}",1.0755903241889817,1.096229581218353,1.2321342023691737,1.2491687110492162,1.2050141336438351,1.2795985140522619,1.1184163539481342,1.1522952366368215,1.303074414568736,1.0784807156094096,1.179000218728492,0.08122210312890325,257
117,7.85290560722351,2.107769590778668,0.010152006149291992,0.005615253734530955,688,0.028,1000,tanh,1,40,<class 'torch.optim.sgd.SGD'>,0.9,True,0.01,"{'batch_size': 688, 'lr': 0.028, 'max_epochs': 1000, 'module__activation_fun': 'tanh', 'module__hidden_layers': 1, 'module__num_units': 40, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.9, 'optimizer__nesterov': True, 'optimizer__weight_decay': 0.01}",1.0997307510290266,1.1012327480445008,1.2095582943717789,1.272253762902622,1.1974498339949693,1.2487467838857407,1.1596275714219064,1.1359131300079643,1.3051812089419454,1.061709681412939,1.1791403766013393,0.07686138940945329,256
59,5.391078996658325,0.8807770387494704,0.0069091558456420895,0.005664353446782158,660,0.029,1000,tanh,1,38,<class 'torch.optim.sgd.SGD'>,0.9,True,0.012,"{'batch_size': 660, 'lr': 0.029, 'max_epochs': 1000, 'module__activation_fun': 'tanh', 'module__hidden_layers': 1, 'module__num_units': 38, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.9, 'optimizer__nesterov': True, 'optimizer__weight_decay': 0.012}",1.1057357324805475,1.070755732518838,1.219998632046513,1.2607576209015416,1.194957417204864,1.2605105065705633,1.1702307619686638,1.13339698852453,1.2765803247466123,1.0986053466683987,1.1791529063631072,0.07105617006128793,255
58,5.355248665809631,1.3630917996184204,0.008386468887329102,0.003793465678612326,660,0.029,1000,tanh,1,38,<class 'torch.optim.sgd.SGD'>,0.9,True,0.0115,"{'batch_size': 660, 'lr': 0.029, 'max_epochs': 1000, 'module__activation_fun': 'tanh', 'module__hidden_layers': 1, 'module__num_units': 38, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.9, 'optimizer__nesterov': True, 'optimizer__weight_decay': 0.0115}",1.1100306897459173,1.085906340607575,1.2242304934258748,1.2389493852125524,1.1928467349730487,1.279627857687778,1.165044487979179,1.1474443446088554,1.2863611166918636,1.0612519498858037,1.1791693400818448,0.07480766066150403,254
45,5.055006599426269,1.0569830588630051,0.00807497501373291,0.004131768637690634,660,0.028,1000,tanh,1,40,<class 'torch.optim.sgd.SGD'>,0.9,True,0.01,"{'batch_size': 660, 'lr': 0.028, 'max_epochs': 1000, 'module__activation_fun': 'tanh', 'module__hidden_layers': 1, 'module__num_units': 40, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.9, 'optimizer__nesterov': True, 'optimizer__weight_decay': 0.01}",1.104114073363686,1.0697973951193176,1.2118270974746324,1.2627876470971824,1.1944217698690587,1.2816030491787689,1.1954261709872942,1.1173396010540033,1.2742958903256665,1.0808759406067883,1.1792488635076397,0.07692669110787545,253
22,6.194007205963135,1.3535377365677963,0.007377076148986817,0.00440516606997947,660,0.0273,1000,tanh,1,38,<class 'torch.optim.sgd.SGD'>,0.9,True,0.0115,"{'batch_size': 660, 'lr': 0.0273, 'max_epochs': 1000, 'module__activation_fun': 'tanh', 'module__hidden_layers': 1, 'module__num_units': 38, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.9, 'optimizer__nesterov': True, 'optimizer__weight_decay': 0.0115}",1.0865277250234346,1.080323933917833,1.2143023475668484,1.2704422744481187,1.2135787446023827,1.2603416818201094,1.2031504312404115,1.1218204182901776,1.2560442779073142,1.0871025928098597,1.179363442762649,0.07344424615318132,252
257,5.1500317573547365,1.2237427914921386,0.005810236930847168,0.004146037467964196,720,0.028,1000,tanh,1,38,<class 'torch.optim.sgd.SGD'>,0.9,True,0.012,"{'batch_size': 720, 'lr': 0.028, 'max_epochs': 1000, 'module__activation_fun': 'tanh', 'module__hidden_layers': 1, 'module__num_units': 38, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.9, 'optimizer__nesterov': True, 'optimizer__weight_decay': 0.012}",1.0996488056852853,1.0848745726385063,1.210631655655185,1.2401448660635186,1.2000842265280567,1.2720099434928787,1.1171813358909877,1.173767991756138,1.303905270377496,1.0937202691918972,1.179596893727995,0.07463924971048647,251
124,6.971964287757873,2.0317637516276856,0.010846567153930665,0.00431405680964591,688,0.028,1000,tanh,1,42,<class 'torch.optim.sgd.SGD'>,0.9,True,0.0115,"{'batch_size': 688, 'lr': 0.028, 'max_epochs': 1000, 'module__activation_fun': 'tanh', 'module__hidden_layers': 1, 'module__num_units': 42, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.9, 'optimizer__nesterov': True, 'optimizer__weight_decay': 0.0115}",1.0891623628374778,1.095370835043434,1.2299230162306387,1.261223376854638,1.1949591674750908,1.2739052086284286,1.152102811107958,1.1359434011847453,1.302218082535984,1.0622465364268106,1.1797054798325204,0.08066386352702085,250
