,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_batch_size,param_early_stopping,param_hidden_layer_sizes,param_learning_rate,param_learning_rate_init,param_max_iter,param_momentum,param_n_iter_no_change,param_random_state,param_solver,param_tol,param_validation_fraction,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
393,7.12746224403381,0.741473377717368,0.00588359832763672,0.00520460584624268,tanh,0.054116587661876,123,True,"(75, 75)",adaptive,0.0149256445511151,1000,0.85,15,69,sgd,0.00109652485809787,0.2,"{'activation': 'tanh', 'alpha': 0.05411658766187596, 'batch_size': 123, 'early_stopping': True, 'hidden_layer_sizes': (75, 75), 'learning_rate': 'adaptive', 'learning_rate_init': 0.01492564455111515, 'max_iter': 1000, 'momentum': 0.85, 'n_iter_no_change': 15, 'random_state': 69, 'solver': 'sgd', 'tol': 0.0010965248580978662, 'validation_fraction': 0.2}",1.06501229395571,1.02444194922377,1.1598204589483,1.21415644821433,1.21241882727898,1.22189600711685,1.166388699736,1.05101540792569,1.2057688288234,1.0195843978182,1.13405033190412,0.0799414678232159,971
952,3.05920207500458,0.270122133487602,0.00121512413024902,0.000379182353343167,logistic,0.0711833150530841,67,True,"(25,)",adaptive,0.069577076317357,1000,0.85,15,69,sgd,0.00193263558895291,0.2,"{'activation': 'logistic', 'alpha': 0.07118331505308412, 'batch_size': 67, 'early_stopping': True, 'hidden_layer_sizes': (25,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.06957707631735699, 'max_iter': 1000, 'momentum': 0.85, 'n_iter_no_change': 15, 'random_state': 69, 'solver': 'sgd', 'tol': 0.0019326355889529127, 'validation_fraction': 0.2}",1.09562880034747,1.07859463670402,1.1738783018951,1.25028766847804,1.21715709952311,1.25377468648777,1.14967306100725,1.09989369137456,1.25869428989179,1.03961877884407,1.16172010145532,0.0768749689379666,969
620,0.623800897598267,0.107581130127332,0.00397660732269287,0.00514097124985526,logistic,0.081039758255103,88,True,"(10, 10)",constant,0.0818596208528977,1000,0.8,15,69,sgd,0.00138981607583688,0.2,"{'activation': 'logistic', 'alpha': 0.08103975825510298, 'batch_size': 88, 'early_stopping': True, 'hidden_layer_sizes': (10, 10), 'learning_rate': 'constant', 'learning_rate_init': 0.08185962085289768, 'max_iter': 1000, 'momentum': 0.8, 'n_iter_no_change': 15, 'random_state': 69, 'solver': 'sgd', 'tol': 0.0013898160758368818, 'validation_fraction': 0.2}",1.10443996734416,1.07121654228249,1.21429122153789,1.19842827488485,1.23271983568146,1.25936037310876,1.14541038915533,1.0828194774082,1.24361496473158,1.06902879171966,1.16213298378544,0.0720734094950751,968
169,1.63680346012115,0.387340222104796,0.0038470983505249,0.00479761061169655,logistic,0.0599741036101111,386,True,"(10, 10)",adaptive,0.0829570474729656,1000,0.9,15,69,sgd,0.00138831273785216,0.2,"{'activation': 'logistic', 'alpha': 0.059974103610111136, 'batch_size': 386, 'early_stopping': True, 'hidden_layer_sizes': (10, 10), 'learning_rate': 'adaptive', 'learning_rate_init': 0.08295704747296556, 'max_iter': 1000, 'momentum': 0.9, 'n_iter_no_change': 15, 'random_state': 69, 'solver': 'sgd', 'tol': 0.0013883127378521646, 'validation_fraction': 0.2}",1.06570719220251,1.06618184448693,1.24221416106256,1.19114016322016,1.24516387840725,1.23968693228865,1.20672729818303,1.08316882035811,1.21911136861505,1.07650061027577,1.16356022691,0.0757962873112875,967
604,3.99652264118195,0.23491797061332,0.00284342765808105,0.00466072755417618,logistic,0.0612000490846983,63,True,"(75,)",adaptive,0.065067180932852,1000,0.85,15,69,sgd,0.00190896379858907,0.2,"{'activation': 'logistic', 'alpha': 0.06120004908469834, 'batch_size': 63, 'early_stopping': True, 'hidden_layer_sizes': (75,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.06506718093285199, 'max_iter': 1000, 'momentum': 0.85, 'n_iter_no_change': 15, 'random_state': 69, 'solver': 'sgd', 'tol': 0.001908963798589072, 'validation_fraction': 0.2}",1.07788573682559,1.09502087373898,1.19457403620353,1.22576781048605,1.21715618722102,1.26847635112078,1.24624747624232,1.08118413643965,1.2552461356646,0.992316583613539,1.16538753275561,0.0905922862814805,966
600,10.5114069700241,0.801544893261005,0.00647158622741699,0.00519602850577756,tanh,0.0929363829312609,547,True,"(75, 75)",adaptive,0.0168099937269797,1000,0.85,25,69,sgd,0.00107397381088198,0.2,"{'activation': 'tanh', 'alpha': 0.09293638293126087, 'batch_size': 547, 'early_stopping': True, 'hidden_layer_sizes': (75, 75), 'learning_rate': 'adaptive', 'learning_rate_init': 0.016809993726979663, 'max_iter': 1000, 'momentum': 0.85, 'n_iter_no_change': 25, 'random_state': 69, 'solver': 'sgd', 'tol': 0.0010739738108819803, 'validation_fraction': 0.2}",1.1017447760834,1.06800603916196,1.15679622016431,1.25975300937022,1.25399384463909,1.24003333123936,1.21374413965047,1.07153435234781,1.2411364427379,1.04762824857058,1.16543704039651,0.0816622226646053,965
985,0.679341101646423,0.156635210804666,0.00634198188781738,0.00671858798840009,logistic,0.0920564451899695,216,True,"(10, 10)",constant,0.111807844375027,1000,0.8,25,69,sgd,0.0013137897487471,0.2,"{'activation': 'logistic', 'alpha': 0.09205644518996947, 'batch_size': 216, 'early_stopping': True, 'hidden_layer_sizes': (10, 10), 'learning_rate': 'constant', 'learning_rate_init': 0.11180784437502708, 'max_iter': 1000, 'momentum': 0.8, 'n_iter_no_change': 25, 'random_state': 69, 'solver': 'sgd', 'tol': 0.0013137897487471037, 'validation_fraction': 0.2}",1.07073103545407,1.04860603955461,1.26768567086726,1.22957263848958,1.28343238854532,1.28381301095829,1.13453630505688,1.08123676426331,1.19632099138879,1.05983430843844,1.16557691530165,0.0923432411270172,964
396,0.973763799667358,0.146067633926161,0.00343296527862549,0.00620181309378612,logistic,0.0191262951565833,176,True,"(10, 10)",adaptive,0.119028783999641,1000,0.85,5,69,sgd,0.00131429851965993,0.2,"{'activation': 'logistic', 'alpha': 0.019126295156583335, 'batch_size': 176, 'early_stopping': True, 'hidden_layer_sizes': (10, 10), 'learning_rate': 'adaptive', 'learning_rate_init': 0.11902878399964069, 'max_iter': 1000, 'momentum': 0.85, 'n_iter_no_change': 5, 'random_state': 69, 'solver': 'sgd', 'tol': 0.0013142985196599325, 'validation_fraction': 0.2}",1.07335797250366,1.09587645634814,1.22788204250303,1.19798553890055,1.24527009651539,1.25079206560288,1.16535021068556,1.0963885458459,1.20485067284661,1.11526203805929,1.1673015639811,0.0638268852106687,963
863,3.15962228775024,0.467820474624701,0.00762503147125244,0.00704424147047336,logistic,0.0547383019351661,60,True,"(50, 50)",adaptive,0.0463513743028402,1000,0.9,5,69,sgd,0.00191555091764808,0.2,"{'activation': 'logistic', 'alpha': 0.05473830193516611, 'batch_size': 60, 'early_stopping': True, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'adaptive', 'learning_rate_init': 0.046351374302840184, 'max_iter': 1000, 'momentum': 0.9, 'n_iter_no_change': 5, 'random_state': 69, 'solver': 'sgd', 'tol': 0.0019155509176480778, 'validation_fraction': 0.2}",1.10181470436252,1.04780168247702,1.20133504004684,1.24654266456268,1.24759673094663,1.23501450202139,1.19671394126339,1.07753315873784,1.25844360593392,1.07285330137418,1.16856493317264,0.0794816805394338,962
172,0.569085931777954,0.125800521259914,0.00153453350067139,0.00118331724163997,logistic,0.0322582690094388,300,True,"(25, 25)",constant,0.056367790046051,1000,0.9,15,69,sgd,0.00188436312418269,0.2,"{'activation': 'logistic', 'alpha': 0.03225826900943882, 'batch_size': 300, 'early_stopping': True, 'hidden_layer_sizes': (25, 25), 'learning_rate': 'constant', 'learning_rate_init': 0.05636779004605101, 'max_iter': 1000, 'momentum': 0.9, 'n_iter_no_change': 15, 'random_state': 69, 'solver': 'sgd', 'tol': 0.0018843631241826867, 'validation_fraction': 0.2}",1.05755318370245,1.05065277029075,1.22689290066009,1.21690736368201,1.22990665788792,1.27512355474407,1.18086439856694,1.11183913629298,1.31629301947738,1.03842072197519,1.17044537072798,0.094434321988895,961
