,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_batch_size,param_early_stopping,param_hidden_layer_sizes,param_learning_rate,param_learning_rate_init,param_max_iter,param_n_iter_no_change,param_random_state,param_solver,param_tol,param_validation_fraction,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
315,1.7070547819137574,0.31040245787743637,0.0013089656829833984,0.00023419078747760077,logistic,0.0027282204214130632,719,False,"(50,)",constant,0.15384148852782709,1000,25,69,adam,0.001035836701078008,0.2,"{'activation': 'logistic', 'alpha': 0.0027282204214130632, 'batch_size': 719, 'early_stopping': False, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'learning_rate_init': 0.15384148852782709, 'max_iter': 1000, 'n_iter_no_change': 25, 'random_state': 69, 'solver': 'adam', 'tol': 0.001035836701078008, 'validation_fraction': 0.2}",1.1885125421668337,1.332843984392165,1.2931896779927827,1.0690479584909869,1.0538620338275344,1.1504455059876533,1.3396960082449096,1.2497762565376982,1.1899929624880594,1.1545159169380828,1.2021882847066705,0.09567544058791612,405
116,0.5809350728988647,0.0682929162019773,0.0011589765548706056,0.00021185825704370985,tanh,0.060202725716617736,682,False,"(10,)",constant,0.026836040264738063,1000,50,69,sgd,0.001089260209360941,0.2,"{'activation': 'tanh', 'alpha': 0.060202725716617736, 'batch_size': 682, 'early_stopping': False, 'hidden_layer_sizes': (10,), 'learning_rate': 'constant', 'learning_rate_init': 0.026836040264738063, 'max_iter': 1000, 'n_iter_no_change': 50, 'random_state': 69, 'solver': 'sgd', 'tol': 0.001089260209360941, 'validation_fraction': 0.2}",1.214444191989119,1.3431336504900622,1.337623684238043,1.060408868397224,1.0854006040399904,1.1376814580143293,1.2618877094643186,1.2373495107670147,1.2202066403123841,1.1301577860345366,1.2028294103747021,0.09304285215466415,404
433,1.3195911169052124,0.25333104097005005,0.0012468814849853516,0.00018168399317740794,tanh,0.06975965158569045,643,False,"(10, 10)",adaptive,0.026031101057463805,1000,25,69,sgd,0.0010536325327666594,0.2,"{'activation': 'tanh', 'alpha': 0.06975965158569045, 'batch_size': 643, 'early_stopping': False, 'hidden_layer_sizes': (10, 10), 'learning_rate': 'adaptive', 'learning_rate_init': 0.026031101057463805, 'max_iter': 1000, 'n_iter_no_change': 25, 'random_state': 69, 'solver': 'sgd', 'tol': 0.0010536325327666594, 'validation_fraction': 0.2}",1.2059039985837496,1.3160467589022853,1.2827522397475317,1.1126084833863672,1.128581338493467,1.1351552620081466,1.3258579072270842,1.2401252671122782,1.1491364973015759,1.1432568921471653,1.2039424644909653,0.07771362742287967,403
489,1.8631665468215943,0.15930258318059373,0.001178145408630371,0.00017418706217329713,logistic,0.0739932384283519,178,False,"(5, 5)",adaptive,0.18291081101013923,1000,25,69,sgd,0.0010246208826880944,0.2,"{'activation': 'logistic', 'alpha': 0.0739932384283519, 'batch_size': 178, 'early_stopping': False, 'hidden_layer_sizes': (5, 5), 'learning_rate': 'adaptive', 'learning_rate_init': 0.18291081101013923, 'max_iter': 1000, 'n_iter_no_change': 25, 'random_state': 69, 'solver': 'sgd', 'tol': 0.0010246208826880944, 'validation_fraction': 0.2}",1.3118060934799982,1.3320298198644842,1.2618439601889735,1.0603488408911423,1.1531074867694848,1.1157534560731284,1.234755277756989,1.2152201119094626,1.1775421111548001,1.1789426148478455,1.2041349772936307,0.08048127514698591,402
457,20.027465844154356,4.207203936590712,0.002254629135131836,0.00024241479601779255,tanh,0.04715195660687183,61,False,"(100, 100)",adaptive,0.016402416805037727,1000,25,69,sgd,0.0010345853141049753,0.2,"{'activation': 'tanh', 'alpha': 0.04715195660687183, 'batch_size': 61, 'early_stopping': False, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'adaptive', 'learning_rate_init': 0.016402416805037727, 'max_iter': 1000, 'n_iter_no_change': 25, 'random_state': 69, 'solver': 'sgd', 'tol': 0.0010345853141049753, 'validation_fraction': 0.2}",1.2416856494501098,1.2733000480346672,1.2418623323560605,1.0923942715647879,1.1217856044331693,1.0635700823576166,1.3029266278266354,1.333726167475434,1.2231881084442262,1.1577716132692155,1.205221050521192,0.08700434592203082,401
131,0.31304259300231935,0.01714977133498692,0.0012233734130859375,0.0002355998016807588,logistic,0.05542579972261506,1188,False,"(25,)",invscaling,0.29782188601912857,1000,50,69,adam,0.0010698219857485283,0.2,"{'activation': 'logistic', 'alpha': 0.05542579972261506, 'batch_size': 1188, 'early_stopping': False, 'hidden_layer_sizes': (25,), 'learning_rate': 'invscaling', 'learning_rate_init': 0.29782188601912857, 'max_iter': 1000, 'n_iter_no_change': 50, 'random_state': 69, 'solver': 'adam', 'tol': 0.0010698219857485283, 'validation_fraction': 0.2}",1.2250303704301153,1.3507369304373797,1.277228293815849,1.0752493728262038,1.1080764415270554,1.1233246417656957,1.2723999153801233,1.2222092094492898,1.2275439768532197,1.1982128492661968,1.2080012001751128,0.08066026928285562,400
185,1.3676124811172485,0.0920711342361562,0.001129889488220215,0.00013382774649784094,logistic,0.012640402648939874,708,False,"(10,)",adaptive,0.1461592550996142,1000,50,69,sgd,0.0010287844858625232,0.2,"{'activation': 'logistic', 'alpha': 0.012640402648939874, 'batch_size': 708, 'early_stopping': False, 'hidden_layer_sizes': (10,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.1461592550996142, 'max_iter': 1000, 'n_iter_no_change': 50, 'random_state': 69, 'solver': 'sgd', 'tol': 0.0010287844858625232, 'validation_fraction': 0.2}",1.3189203676847263,1.2974884760815137,1.2376135434630713,1.0520362964143852,1.1548907698822675,1.1501053148472073,1.351341041140582,1.16730470717057,1.2010833365386784,1.1533909371049575,1.208417479032796,0.08770207924214182,399
110,0.5846143245697022,0.10161413824726528,0.001133298873901367,2.621004310094494e-05,logistic,0.044331640264133026,35,False,"(10, 10)",adaptive,0.09554404773061385,1000,10,69,adam,0.0010129163384842077,0.2,"{'activation': 'logistic', 'alpha': 0.044331640264133026, 'batch_size': 35, 'early_stopping': False, 'hidden_layer_sizes': (10, 10), 'learning_rate': 'adaptive', 'learning_rate_init': 0.09554404773061385, 'max_iter': 1000, 'n_iter_no_change': 10, 'random_state': 69, 'solver': 'adam', 'tol': 0.0010129163384842077, 'validation_fraction': 0.2}",1.2078281616970943,1.3388974602555763,1.2949262305454698,1.0448669821718808,1.1486634174008592,1.1984897280689275,1.2062755758713317,1.2775524489890402,1.1255878085065878,1.2462376899491012,1.2089325503455868,0.08246193760513527,398
67,0.4201884984970093,0.030989364522814894,0.0011581897735595704,6.484668036719743e-05,logistic,0.06729701443108824,1179,False,"(10, 10)",constant,0.03122255206691315,1000,25,69,sgd,0.0010352594420771767,0.2,"{'activation': 'logistic', 'alpha': 0.06729701443108824, 'batch_size': 1179, 'early_stopping': False, 'hidden_layer_sizes': (10, 10), 'learning_rate': 'constant', 'learning_rate_init': 0.03122255206691315, 'max_iter': 1000, 'n_iter_no_change': 25, 'random_state': 69, 'solver': 'sgd', 'tol': 0.0010352594420771767, 'validation_fraction': 0.2}",1.234838415341077,1.3663701795022063,1.2955543044380764,1.0746347338641142,1.1312592890393594,1.0965019204237296,1.2611289334215914,1.206464295970561,1.2365961830878154,1.1895318869224822,1.2092880142011013,0.08575645062270738,397
215,1.3690065383911132,0.25557904108308255,0.0011944770812988281,0.0001563765268594364,logistic,0.00613191128674634,623,False,"(25,)",invscaling,0.29775910834533337,1000,50,69,adam,0.0010356071131194845,0.2,"{'activation': 'logistic', 'alpha': 0.00613191128674634, 'batch_size': 623, 'early_stopping': False, 'hidden_layer_sizes': (25,), 'learning_rate': 'invscaling', 'learning_rate_init': 0.29775910834533337, 'max_iter': 1000, 'n_iter_no_change': 50, 'random_state': 69, 'solver': 'adam', 'tol': 0.0010356071131194845, 'validation_fraction': 0.2}",1.2301710256019374,1.339304183269524,1.3074561210700368,1.0997546020748843,1.1477125869849483,1.0787595786025763,1.1825158551521358,1.3277784758135995,1.2240067586172436,1.1663611892272623,1.2103820376414147,0.08752609814176422,396
176,0.944734001159668,0.11399926748009513,0.0011615514755249023,0.0002251897355244385,logistic,0.07270899198720643,248,False,"(5,)",adaptive,0.09052857443714128,1000,25,69,sgd,0.0010430577703758259,0.2,"{'activation': 'logistic', 'alpha': 0.07270899198720643, 'batch_size': 248, 'early_stopping': False, 'hidden_layer_sizes': (5,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.09052857443714128, 'max_iter': 1000, 'n_iter_no_change': 25, 'random_state': 69, 'solver': 'sgd', 'tol': 0.0010430577703758259, 'validation_fraction': 0.2}",1.2474150219949918,1.3487729709455738,1.3319888046204287,1.0763558719174546,1.0931501784362125,1.1832332531200715,1.2723238078426207,1.2789417390197113,1.2140176892725016,1.1508256520463915,1.2197024989215959,0.08887280975095259,395
189,1.8384960651397706,0.32540579509935597,0.0012933015823364258,0.00022266417088219126,tanh,0.0881336660312422,498,False,"(25,)",adaptive,0.06103576701249513,1000,25,69,sgd,0.0010169922622365992,0.2,"{'activation': 'tanh', 'alpha': 0.0881336660312422, 'batch_size': 498, 'early_stopping': False, 'hidden_layer_sizes': (25,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.06103576701249513, 'max_iter': 1000, 'n_iter_no_change': 25, 'random_state': 69, 'solver': 'sgd', 'tol': 0.0010169922622365992, 'validation_fraction': 0.2}",1.316550811528184,1.3160500895169946,1.4137570236704369,1.0743232587575173,1.102956037940032,1.1092867248288454,1.2327415792384686,1.2430116216887614,1.1899651459083578,1.21021389581147,1.2208856188889068,0.10244500674948294,394
100,1.760827374458313,0.3284977681429199,0.0017300128936767578,0.0002875559712088803,tanh,0.01745843657158893,726,False,"(100,)",invscaling,0.25758307363139615,1000,25,69,adam,0.0010299931279633358,0.2,"{'activation': 'tanh', 'alpha': 0.01745843657158893, 'batch_size': 726, 'early_stopping': False, 'hidden_layer_sizes': (100,), 'learning_rate': 'invscaling', 'learning_rate_init': 0.25758307363139615, 'max_iter': 1000, 'n_iter_no_change': 25, 'random_state': 69, 'solver': 'adam', 'tol': 0.0010299931279633358, 'validation_fraction': 0.2}",1.2105805397032636,1.3303328983819318,1.5130908867739445,1.1001166248004415,1.108100909860711,1.1340937931113702,1.1888657120936035,1.2565926705245416,1.1946037472484254,1.1898068048341284,1.2226184587332363,0.11671934366639201,393
277,0.7024301290512085,0.05227412461663884,0.0010814905166625977,2.170170983709035e-05,logistic,0.00010007302328910441,438,False,"(5,)",constant,0.05500628350131991,1000,25,69,adam,0.0010541949662602925,0.2,"{'activation': 'logistic', 'alpha': 0.00010007302328910441, 'batch_size': 438, 'early_stopping': False, 'hidden_layer_sizes': (5,), 'learning_rate': 'constant', 'learning_rate_init': 0.05500628350131991, 'max_iter': 1000, 'n_iter_no_change': 25, 'random_state': 69, 'solver': 'adam', 'tol': 0.0010541949662602925, 'validation_fraction': 0.2}",1.2672951776982322,1.3758633428540863,1.3265861514051476,1.0772503434866296,1.1224543853025342,1.126039016499833,1.2465677821348151,1.2371911571686467,1.2340094247020474,1.2202494757801585,1.2233506257032132,0.08814620988857445,392
