,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_batch_size,param_early_stopping,param_hidden_layer_sizes,param_learning_rate,param_learning_rate_init,param_max_iter,param_momentum,param_n_iter_no_change,param_random_state,param_solver,param_tol,param_validation_fraction,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
4,0.96459801197052,0.12846502248509425,0.019853687286376952,0.027395641356098344,logistic,0.06,1000,True,"(8, 8)",constant,0.22,500,0.49,15,69,sgd,0.001,0.2,"{'activation': 'logistic', 'alpha': 0.06, 'batch_size': 1000, 'early_stopping': True, 'hidden_layer_sizes': (8, 8), 'learning_rate': 'constant', 'learning_rate_init': 0.22, 'max_iter': 500, 'momentum': 0.49, 'n_iter_no_change': 15, 'random_state': 69, 'solver': 'sgd', 'tol': 0.001, 'validation_fraction': 0.2}",1.2095999987095822,1.1818544877631227,1.2916133663555165,1.3737398022070706,1.3169476073136412,1.376850247164412,1.2943032695588144,1.1958971310079585,1.3883679521170034,1.1976599958555534,1.2826833858052678,0.07745009905698949,71
31,0.9012098789215088,0.17095451397367015,0.0019336938858032227,0.0001219187038112856,logistic,0.065,1000,True,"(8, 8)",constant,0.22,500,0.49,15,69,sgd,0.001,0.2,"{'activation': 'logistic', 'alpha': 0.065, 'batch_size': 1000, 'early_stopping': True, 'hidden_layer_sizes': (8, 8), 'learning_rate': 'constant', 'learning_rate_init': 0.22, 'max_iter': 500, 'momentum': 0.49, 'n_iter_no_change': 15, 'random_state': 69, 'solver': 'sgd', 'tol': 0.001, 'validation_fraction': 0.2}",1.2096305044125426,1.1818902749903413,1.2916410214291503,1.3737662924788567,1.3169503751426501,1.376887948525381,1.2943475274910308,1.1959325614243022,1.3883762124238166,1.1976787707857162,1.2827101489103787,0.07744646197844753,70
58,0.8038800954818726,0.23946865694470693,0.008867526054382324,0.016438342020681368,logistic,0.07,1000,True,"(8, 8)",constant,0.22,500,0.49,15,69,sgd,0.001,0.2,"{'activation': 'logistic', 'alpha': 0.07, 'batch_size': 1000, 'early_stopping': True, 'hidden_layer_sizes': (8, 8), 'learning_rate': 'constant', 'learning_rate_init': 0.22, 'max_iter': 500, 'momentum': 0.49, 'n_iter_no_change': 15, 'random_state': 69, 'solver': 'sgd', 'tol': 0.001, 'validation_fraction': 0.2}",1.2096610181723206,1.181926067790506,1.2916686891594882,1.3737927881943999,1.3169531603378661,1.376925662390402,1.2943917973373829,1.1959680000537034,1.3883844899217004,1.19769757842238,1.2827369251780147,0.07744282636935666,69
47,0.9558396100997925,0.2241111236661172,0.002373218536376953,0.001320585835993949,logistic,0.065,1000,True,"(12, 12)",constant,0.2,500,0.55,15,69,sgd,0.001,0.2,"{'activation': 'logistic', 'alpha': 0.065, 'batch_size': 1000, 'early_stopping': True, 'hidden_layer_sizes': (12, 12), 'learning_rate': 'constant', 'learning_rate_init': 0.2, 'max_iter': 500, 'momentum': 0.55, 'n_iter_no_change': 15, 'random_state': 69, 'solver': 'sgd', 'tol': 0.001, 'validation_fraction': 0.2}",1.223944640884725,1.1780088664567705,1.3331073135557023,1.3962890361682454,1.3375419463773852,1.350060922657666,1.3042313011763371,1.267493037997858,1.375968884446352,1.1782064274082338,1.2944852377129277,0.07504988135343951,68
74,1.2913219928741455,0.20885754337834553,0.0024160146713256836,0.0011972228879823068,logistic,0.07,1000,True,"(12, 12)",constant,0.2,500,0.55,15,69,sgd,0.001,0.2,"{'activation': 'logistic', 'alpha': 0.07, 'batch_size': 1000, 'early_stopping': True, 'hidden_layer_sizes': (12, 12), 'learning_rate': 'constant', 'learning_rate_init': 0.2, 'max_iter': 500, 'momentum': 0.55, 'n_iter_no_change': 15, 'random_state': 69, 'solver': 'sgd', 'tol': 0.001, 'validation_fraction': 0.2}",1.2240063350453871,1.1780512636978502,1.3332324529713713,1.3963003967281977,1.3375341222953876,1.3501135680151188,1.3042662423221416,1.2675987768024632,1.375986297162987,1.1782387129848635,1.2945328168025767,0.07504248217799644,67
20,1.327918004989624,0.22470688474003017,0.01518254280090332,0.026426804494778328,logistic,0.06,1000,True,"(12, 12)",constant,0.2,500,0.55,15,69,sgd,0.001,0.2,"{'activation': 'logistic', 'alpha': 0.06, 'batch_size': 1000, 'early_stopping': True, 'hidden_layer_sizes': (12, 12), 'learning_rate': 'constant', 'learning_rate_init': 0.2, 'max_iter': 500, 'momentum': 0.55, 'n_iter_no_change': 15, 'random_state': 69, 'solver': 'sgd', 'tol': 0.001, 'validation_fraction': 0.2}",1.2238830338520625,1.1779665579790661,1.332982080534067,1.3962776338149598,1.3433298512799527,1.3500082889885572,1.3041964069019643,1.2673874428977612,1.3759514838611564,1.1781740921388761,1.2950156872248422,0.0754084833397663,66
11,0.9156770467758178,0.3047630567992683,0.0029491186141967773,0.0024390973484328827,logistic,0.06,1000,True,"(10, 10)",constant,0.2,500,0.55,15,69,sgd,0.001,0.2,"{'activation': 'logistic', 'alpha': 0.06, 'batch_size': 1000, 'early_stopping': True, 'hidden_layer_sizes': (10, 10), 'learning_rate': 'constant', 'learning_rate_init': 0.2, 'max_iter': 500, 'momentum': 0.55, 'n_iter_no_change': 15, 'random_state': 69, 'solver': 'sgd', 'tol': 0.001, 'validation_fraction': 0.2}",1.2303847666201733,1.200668919546458,1.3152335304618785,1.3486253694827555,1.3682911820878332,1.3749038173466457,1.2969382487932537,1.2189119630494292,1.3831290745145361,1.2131284640433815,1.2950215335946345,0.06955400652937074,65
38,0.9947230577468872,0.31872051531064916,0.008644866943359374,0.018571867174623252,logistic,0.065,1000,True,"(10, 10)",constant,0.2,500,0.55,15,69,sgd,0.001,0.2,"{'activation': 'logistic', 'alpha': 0.065, 'batch_size': 1000, 'early_stopping': True, 'hidden_layer_sizes': (10, 10), 'learning_rate': 'constant', 'learning_rate_init': 0.2, 'max_iter': 500, 'momentum': 0.55, 'n_iter_no_change': 15, 'random_state': 69, 'solver': 'sgd', 'tol': 0.001, 'validation_fraction': 0.2}",1.2304269691900036,1.2007137632438205,1.3152779874644285,1.3486805417178698,1.3683153903856535,1.374943955970549,1.2970105270888515,1.2189510634233462,1.3831332735476338,1.2131723791304898,1.2950625851162645,0.06954798911256736,64
65,1.215377926826477,0.199916511757509,0.008327078819274903,0.018708632932579364,logistic,0.07,1000,True,"(10, 10)",constant,0.2,500,0.55,15,69,sgd,0.001,0.2,"{'activation': 'logistic', 'alpha': 0.07, 'batch_size': 1000, 'early_stopping': True, 'hidden_layer_sizes': (10, 10), 'learning_rate': 'constant', 'learning_rate_init': 0.2, 'max_iter': 500, 'momentum': 0.55, 'n_iter_no_change': 15, 'random_state': 69, 'solver': 'sgd', 'tol': 0.001, 'validation_fraction': 0.2}",1.2304691886783747,1.2007586324437347,1.3153224640526562,1.3487357459856473,1.3683396104504677,1.3749841229258828,1.2970828180007776,1.218990186411262,1.3831374899597284,1.2132163209334432,1.2951036579841975,0.06954197439867656,63
19,1.317133331298828,0.25072267655696373,0.009896945953369141,0.020238729494337464,logistic,0.06,1000,True,"(12, 12)",constant,0.2,500,0.49,15,69,sgd,0.001,0.2,"{'activation': 'logistic', 'alpha': 0.06, 'batch_size': 1000, 'early_stopping': True, 'hidden_layer_sizes': (12, 12), 'learning_rate': 'constant', 'learning_rate_init': 0.2, 'max_iter': 500, 'momentum': 0.49, 'n_iter_no_change': 15, 'random_state': 69, 'solver': 'sgd', 'tol': 0.001, 'validation_fraction': 0.2}",1.2416579215780832,1.1527544986933724,1.358716693262499,1.3811217680025594,1.3489551466785152,1.3918837282130558,1.3068754060413177,1.177091997361103,1.412861456145913,1.2107676516029677,1.2982686267579386,0.09043032956344144,62
